name,id,privacy
No Hillary In '16,4.43179E+14,CLOSED
Make California Great Again,7.27496E+14,CLOSED
A Haven For Liberal Tree Huggers Who Won't Take GOP Crap,1.47242E+14,CLOSED
MAGA Citizens,1.2579E+15,CLOSED
I HATE HILLARY AND MICHELLE,4.69943E+14,CLOSED
Indivisible YORK,1.41264E+14,CLOSED
The Trump Factor Indiana: The Journey to TRiUMPh,1.64341E+15,CLOSED
Oregon Women for Trump,7.9987E+14,CLOSED
Mission Democrat,7.4804E+14,CLOSED
Donald Trump for President 2020,1.67124E+15,CLOSED
The Trump Factor: Utah,1.63324E+15,OPEN
WE CARE ABOUT AMERICA,5.77098E+14,CLOSED
Stand Down Kate Brown #ResistKatesRegime,6.24767E+14,CLOSED
Independent Conservatives for Sanity,2.23954E+14,CLOSED
League Of Extraordinary Conservatives,1.85774E+15,CLOSED
THE TRUMP FACTOR MONTANA: Putting America First,1.63273E+15,OPEN
NorthWest Trump Alliance for Change,2.6967E+14,CLOSED
Conservative Patriots United Against Progressivism,1.91564E+15,CLOSED
LIBERTY RISES with TRUMP/PENCEå©,1.68119E+15,CLOSED
All Who Support President Donald J. Trump,1.78417E+15,CLOSED
Ukrainians for Trump,2.47393E+14,CLOSED
Democrats United Against All Things Republican,9.43675E+14,CLOSED
The Conservative Majority  A Renewed Hope for America,1.56035E+15,CLOSED
President Donald J. Trump,1.7425E+14,CLOSED
Democrats OWN The Voting Booth in 2014 and 2016,7.32936E+14,CLOSED
"Trump / Pence, 2020",1.12686E+15,CLOSED
President Donald J Trump,3.93343E+14,CLOSED
Support For President Donald J. Trump,3.65779E+14,OPEN
Hillary for America - Alumni,1.82883E+15,CLOSED
Conservatives for Dumping Mitch McConnell & Paul Ryan,4.50631E+14,OPEN
The Majority Voters (aka Hillary Supporters),1.67213E+15,CLOSED
Donald Trump President/Trey Gowdy Intelligence,1.49791E+15,CLOSED
Jeremy Corbyn - Power to the People (A Socialist Movement),2.54199E+14,CLOSED
The Deplorables,1.7274E+15,CLOSED
Indivisible NJ 5th District Community,7.5961E+14,CLOSED
PATRIOTS for TRUMP,2.06743E+14,CLOSED
The People for Daniel Biss & Litesa Wallace - Discussion Group,2.98274E+14,CLOSED
Democratic Friends,4.09445E+14,CLOSED
Iowa Democratic Party Progressive Caucus Discussion Group,5.5631E+14,CLOSED
