name,id,privacy
LGBT ALL IN FOR HILLARY CLINTON 2016,1.94479E+14,OPEN
Soutien ÌÊ Hillary Clinton   Stronger together!,7.00343E+14,OPEN
El PASO SAYS NO TO HILLARY CLINTON,1.43926E+15,CLOSED
Sarah Palin is NOT Hillary Clinton,22583199522,OPEN
The Campaign to Elect Hillary Clinton in 2012,1.96351E+14,OPEN
VOTE FOR HILLARY CLINTON 2016 PRESIDENT OF USA WITH ALL FANS SINCE 1990,1.89576E+14,OPEN
Keep America Great,3.18603E+14,CLOSED
Indivisible NW Illinois 17th District Rebels,5.91596E+14,CLOSED
Clinton Correctional Strong,1.8725E+14,CLOSED
Our Revolution Michigan 4th Congressional District,2.26318E+14,OPEN
Donald Trump WILL NEVER be our President!,1.77103E+14,CLOSED
Clinton FC,1.82972E+14,CLOSED
Bernie Sanders: Progressive Narrative,5.61466E+14,CLOSED
West Michigan Republicans,1.73692E+15,OPEN
OUR NEXT PRESIDENT- HILLARY-,1.39234E+14,CLOSED
Senator Elizabeth Warren Supporters,7.43761E+14,CLOSED
THE ELIZABETH WARREN PROGRESSIVES,7.75881E+14,CLOSED
Michigan Needs a Progressive Democratic Governor 2018!,1.88977E+14,CLOSED
Our Clinton Corner,2.10448E+14,CLOSED
Democrats Are The Future,1.01076E+15,CLOSED
GLOW Democrats,66140707200,OPEN
(Bill) Clinton Administration Alumni,2243604795,OPEN
Texas for Hillary 2016,1.81554E+15,CLOSED
ô_óÎ¯€¯±óÎ ò©ó¯€ô óÎ ô_óÎ¯€¯±óÎ ¯_¯¬¯€ô óÎ+++ã¢,6.90764E+14,CLOSED
Clinton H.S. Class of  '79,1.7585E+15,CLOSED
Scott County Democratic Party Discussion Group,63527057428,CLOSED
Reading:  What Happened by Hillary Rodham Clinton,2.10091E+15,CLOSED
"Buy/Sell group Warren Elizabeth, Stockton areas",1.54956E+15,CLOSED
"Thanks Alot Debbie (Stabenow, NOT)",3.47158E+14,OPEN
Elizabeth Warren and Politics,5.14611E+14,OPEN
"""Rise, Hillary, Rise""",3.72793E+14,CLOSED
Clinton 22nd Ward Relief Society,2.46289E+14,CLOSED
Trump v. Clinton 3rd Debate Forum,1.69537E+15,CLOSED
Clinton North Ladies,8.18516E+14,CLOSED
Time To Take Down Hillary,3.89025E+14,OPEN
Clinton state school info page!!!!,1.66065E+15,CLOSED
Will County Democratic Party,3.4579E+11,OPEN
Presidential Stuff,3.60057E+14,CLOSED
Monroe County Republican Party of Indiana,67063230723,CLOSED
Clinton Courts,4.74644E+14,OPEN
Hillary Cliton is Unfit To Run This Country,1.11142E+15,OPEN
Western Ohio for Hillary,1.37814E+14,OPEN
Kurdish Support for U.S. Presidential (presumptive) Nominee Hillary Clinton,2.35459E+14,CLOSED
Friends Who Like Hillary Clinton,1.78698E+15,CLOSED
Wheres Clinton,1.80232E+15,OPEN
Ronald Trump and Hillery Clinton for America Presidency,1.01159E+15,OPEN
Cubanos a favor de que gane HILLARY CLINTON,3.06154E+14,OPEN
Crawford County for Hillary,1.77095E+14,OPEN
Clinton Mississippi Tea Party,1.65678E+14,OPEN
John McAfee For President 2016,1.01504E+15,OPEN
Friends Who Like Hillary Clinton,1.07982E+15,CLOSED
Renew Obama's Promise Of America. Vote For Hillary Clinton 2016!,4.39361E+14,OPEN
Clinton True Value,7.26675E+14,OPEN
Indiana Republican Party 9th District,2.30436E+14,CLOSED
